Id,UserName,FirstName,LastName,Email,Password,Phone,UserStatus
100,u100,Charchika,Shukla,csp@gmail.com,abcd123,41547895,1
101,u101,Charchika,Shukla,csp@gmail.com,abcd124,41547895,1
102,u102,Charchika,Shukla,csp@gmail.com,abcd125,41547895,1
103,u103,Charchika,Shukla,csp@gmail.com,abcd126,41547895,1
104,u104,Charchika,Shukla,csp@gmail.com,abcd127,41547895,1
105,u105,Charchika,Shukla,csp@gmail.com,abcd128,41547895,1
106,u106,Charchika,Shukla,csp@gmail.com,abcd129,41547895,1
107,u107,Charchika,Shukla,csp@gmail.com,abcd130,41547895,1
108,u108,Charchika,Shukla,csp@gmail.com,abcd131,41547895,1
109,u109,Charchika,Shukla,csp@gmail.com,abcd132,41547895,1
110,u110,Charchika,Shukla,csp@gmail.com,abcd133,41547895,1
111,u111,Charchika,Shukla,csp@gmail.com,abcd134,41547895,1
112,u112,Charchika,Shukla,csp@gmail.com,abcd135,41547895,1
113,u113,Charchika,Shukla,csp@gmail.com,abcd136,41547895,1
114,u114,Charchika,Shukla,csp@gmail.com,abcd137,41547895,1
115,u115,Charchika,Shukla,csp@gmail.com,abcd138,41547895,1
